nomformation;nb_chars;coefficient_au_sud;departement_code;proportion_candidates;proportion_bien_tb
BPJEPS, IPSO FORMATIONS - Campus ANNECY;6;0.6061292796876093;74;0.11666666666666666667;0
BPJEPS, IPSO FORMATIONS - Campus ANNECY;6;0.6061292796876093;74;0.20634920634920634921;0
BPJEPS, IPSO FORMATIONS - Campus ANNECY;6;0.6061292796876093;74;0.25899280575539568345;0
BPJEPS, IPSO FORMATIONS - Campus ANNECY;6;0.6061292796876093;74;0.40816326530612244898;0
BPJEPS, IPSO FORMATIONS - Campus GRENOBLE;6;0.687481114752574;38;0.11764705882352941176;0
BPJEPS, IPSO FORMATIONS - Campus GRENOBLE;6;0.687481114752574;38;0.13471502590673575130;0
BPJEPS, IPSO FORMATIONS - Campus GRENOBLE;6;0.687481114752574;38;0.23741007194244604317;0
BPJEPS, IPSO FORMATIONS - Campus GRENOBLE;6;0.687481114752574;38;0.24528301886792452830;0
BPJEPS, IPSO FORMATIONS - Campus GRENOBLE;6;0.687481114752574;38;0.36842105263157894737;0
BPJEPS, IPSO FORMATIONS - Campus LYON;6;0.6177509704111751;69;0.15827338129496402878;0
BPJEPS, IPSO FORMATIONS - Campus LYON;6;0.6177509704111751;69;0.16666666666666666667;0
BPJEPS, IPSO FORMATIONS - Campus LYON;6;0.6177509704111751;69;0.22549019607843137255;0
BPJEPS, IPSO FORMATIONS - Campus LYON;6;0.6177509704111751;69;0.29670329670329670330;0
BPJEPS, IPSO FORMATIONS - Campus LYON;6;0.6177509704111751;69;0.41666666666666666667;0
BPJEPS, Lycée professionnel Agricole EMILIE DE RODAT;6;0.9082932385003365;11;0.73076923076923076923;0
BPJEPS, SPE FORMATION;6;0.7804546405411061;12;0.06250000000000000000;0
BPJEPS, SPE FORMATION;6;0.7804546405411061;12;0.07407407407407407407;0
BPJEPS, SPE FORMATION;6;0.7804546405411061;12;0.10000000000000000000;0
BPJEPS, SPE FORMATION;6;0.7804546405411061;12;0.15789473684210526316;0
BPJEPS, SPE FORMATION;6;0.7804546405411061;12;0.25000000000000000000;0
BPJEPS, UNIVERS SPORT FORMATION LYON;6;0.6177509704111751;69;0.11290322580645161290;0
BPJEPS, UNIVERS SPORT FORMATION LYON;6;0.6177509704111751;69;0.13559322033898305085;0
BTS - Agricole, AgroSup Dijon Direction Enseignement à Distance (CNPR);14;0.6177509704111751;63;0.30769230769230769231;0
BTS - Agricole, AgroSup Dijon Direction Enseignement à Distance (CNPR);14;0.6177509704111751;63;0.41538461538461538462;0.5
BTS - Agricole, AgroSup Dijon Direction Enseignement à Distance (CNPR);14;0.6177509704111751;63;0.44047619047619047619;0.25
BTS - Agricole, AgroSup Dijon Direction Enseignement à Distance (CNPR);14;0.6177509704111751;63;0.45238095238095238095;0.6666666666666666
BTS - Agricole, AgroSup Dijon Direction Enseignement à Distance (CNPR);14;0.6177509704111751;63;0.49689440993788819876;0.18181818181818182
BTS - Agricole, AgroSup Dijon Direction Enseignement à Distance (CNPR);14;0.6177509704111751;63;0.56363636363636363636;0.3333333333333333
BTS - Agricole, AgroSup Dijon Direction Enseignement à Distance (CNPR);14;0.6177509704111751;63;0.83928571428571428571;0
BTS - Agricole, Antenne de Semur en Auxois du CFA régional des MFR;14;0.4201822281105458;21;0.76666666666666666667;0
BTS - Agricole, Campus du Végétal du pays de Brive;14;0.6758594240290073;19;0.41269841269841269841;0.05
BTS - Agricole, Campus du Végétal du pays de Brive;14;0.6758594240290073;19;0.42857142857142857143;0.2222222222222222
BTS - Agricole, Campus du Végétal du pays de Brive;14;0.6758594240290073;19;0.64864864864864864865;0.16666666666666666
BTS - Agricole, Campus La Salle St Christophe;14;0.8850498570532042;32;0.37106918238993710692;0.13793103448275862
BTS - Agricole, Centre de Formation aux Métiers de la Montagne (CFMM) de Tronchine à Thônes;14;0.6061292796876093;74;0.24662162162162162162;0.375
BTS - Agricole, Centre d'études forestières et agricoles;14;0.7572112590939729;26;0.11764705882352941176;0
BTS - Agricole, Centre d'études forestières et agricoles;14;0.7572112590939729;26;0.18181818181818181818;0.25
BTS - Agricole, CFRP de Gugnecourt;14;0.32720870232201366;88;0.32894736842105263158;0.3333333333333333
BTS - Agricole, CFRP de Gugnecourt;14;0.32720870232201366;88;0.59375000000000000000;0
BTS - Agricole, CFTA;14;0.33883039304558027;35;0.35567010309278350515;0.0975609756097561
BTS - Agricole, CHEPP du Tremblay sur Mauldre;14;0.26910024870418137;78;0.40594059405940594059;0.15384615384615385
BTS - Agricole, EC FORM AGR Institut Lemonnier;14;0.2226134858099157;14;0.36231884057971014493;0
BTS - Agricole, Ecole d'horticulture et de paysage;14;0.3155870115984478;88;0.42105263157894736842;0
BTS - Agricole, Ecole d'horticulture et de paysage;14;0.3155870115984478;88;0.46629213483146067416;0.15789473684210525
BTS - Agricole, Ecole du Nivot;14;0.3155870115984478;29;0.16788321167883211679;0.058823529411764705
BTS - Agricole, Ecole du Nivot;14;0.3155870115984478;29;0.61313868613138686131;0.125
BTS - Agricole, Ecole Forestière de Meymac;14;0.6409943518583083;19;0.09677419354838709677;0.2
BTS - Agricole, Ecole Forestière de Meymac;14;0.6409943518583083;19;0.18494271685761047463;0.24390243902439024
BTS - Agricole, Ecole Sup. Agricole Roville - Section BTS - site de Nancy;14;0.280721939427748;54;0.33050847457627118644;0.08333333333333333
BTS - Agricole, Ecole Sup. Agricole Roville - Section BTS - site de Nancy;14;0.280721939427748;54;0.59523809523809523810;0
BTS - Agricole, Ecole Sup. La Raque;14;0.9082932385003365;11;0.24475524475524475524;0.16666666666666666
BTS - Agricole, Ecole Sup. La Raque;14;0.9082932385003365;11;0.29577464788732394366;0
BTS - Agricole, Ecole Sup. La Raque;14;0.9082932385003365;11;0.32941176470588235294;0.3333333333333333
BTS - Agricole, Ecole Sup. La Raque;14;0.9082932385003365;11;0.39393939393939393939;0
BTS - Agricole, Ecole Sup. La Raque;14;0.9082932385003365;11;0.52083333333333333333;0
BTS - Agricole, Ecole Sup. La Raque;14;0.9082932385003365;11;0.53623188405797101449;0.16666666666666666
BTS - Agricole, Ecole Sup. La Raque;14;0.9082932385003365;11;0.60377358490566037736;0.2
BTS - Agricole, ENIL;14;0.45504730028124485;25;0.28000000000000000000;0
BTS - Agricole, ENIL;14;0.45504730028124485;25;0.45253164556962025316;0
BTS - Agricole, ENIL;14;0.45504730028124485;25;0.62137681159420289855;0.21428571428571427
BTS - Agricole, ENILBIO;14;0.4899123724519447;39;0.43891402714932126697;0.125
